Concesionario,Año,Infraestructura Acumulada,Inversión Anual en Infraestructura,Equipo Acumulada,Inversión Anual en Equipo,Telecomunicaciones Acumulada,Inversión Anual en Telecomunicaciones,Inv. Acum. Equipo Infra y Tele. ,Inversión Anual en Equipo Infra. y Tele.,Inversión Total Acumulada,Inversión Total Anual
FERROMEX,2005," 3,879,562.00 "," 586,874.00 "," 5,641,328.00 ","-317,498.00 "," 691,997.00 "," 76,043.00 "," 10,212,887.00 "," 345,419.00 "," 12,569,765.00 "," 654,171.00 "
FERROMEX,2006," 4,318,825.00 "," 439,263.00 "," 5,444,877.00 ","-196,451.00 "," 771,083.00 "," 79,086.00 "," 10,534,785.00 "," 321,898.00 "," 13,148,696.00 "," 578,931.00 "
FERROMEX,2007," 5,342,662.00 "," 1,023,837.00 "," 4,936,227.00 ","-508,650.00 "," 818,913.00 "," 47,830.00 "," 11,097,802.00 "," 563,017.00 "," 14,040,610.00 "," 891,914.00 "
FERROMEX,2008," 6,350,140.00 "," 1,007,478.00 "," 5,195,634.00 "," 259,407.00 "," 967,783.00 "," 148,870.00 "," 12,513,557.00 "," 1,415,755.00 "," 15,660,272.00 "," 1,619,662.00 "
FERROMEX,2009," 7,121,500.00 "," 771,360.00 "," 5,058,019.00 ","-137,615.00 "," 1,043,206.00 "," 75,423.00 "," 13,222,725.00 "," 709,168.00 "," 16,611,293.00 "," 951,021.00 "
FERROMEX,2010," 7,905,546.00 "," 784,046.00 "," 5,111,620.00 "," 53,601.00 "," 1,052,349.00 "," 9,143.00 "," 14,069,515.00 "," 846,790.00 "," 17,721,094.00 "," 1,109,801.00 "
FERROMEX,2011," 9,070,762.00 "," 1,165,216.00 "," 6,321,056.00 "," 1,209,436.00 "," 1,132,144.00 "," 79,795.00 "," 16,523,962.00 "," 2,454,447.00 "," 23,027,479.00 "," 5,306,385.00 "
FERROMEX,2012," 10,370,491.00 "," 1,299,729.00 "," 6,365,317.00 "," 44,261.00 "," 1,306,409.00 "," 174,265.00 "," 18,042,217.00 "," 1,518,255.00 "," 25,752,034.00 "," 2,724,555.00 "
FERROMEX,2013," 13,136,131.00 "," 2,765,640.00 "," 6,590,473.00 "," 225,156.00 "," 1,726,613.00 "," 420,204.00 "," 21,453,217.00 "," 3,411,000.00 "," 30,228,030.00 "," 4,475,996.00 "
FERROMEX,2014," 15,956,392.00 "," 2,820,261.00 "," 7,158,825.00 "," 568,352.00 "," 1,969,510.00 "," 242,897.00 "," 25,084,727.00 "," 3,631,510.00 "," 32,960,857.00 "," 2,732,827.00 "
FERROMEX,2015," 17,794,289.00 "," 1,837,897.00 "," 7,211,331.00 "," 52,506.00 "," 2,143,077.00 "," 173,567.00 "," 27,148,697.00 "," 2,063,970.00 "," 36,191,832.00 "," 3,230,975.00 "
FERROMEX,2016," 19,978,687.00 "," 2,184,398.00 "," 7,363,869.00 "," 152,538.00 "," 2,339,226.00 "," 196,149.00 "," 29,681,782.00 "," 2,533,085.00 "," 39,052,920.00 "," 2,861,088.00 "
FERROMEX,2017," 22,003,427.00 "," 2,024,740.00 "," 7,311,695.00 ","-52,174.00 "," 2,532,660.00 "," 193,434.00 "," 31,847,782.00 "," 2,166,000.00 "," 42,070,228.00 "," 3,017,308.00 "
FERROMEX,2018," 24,124,819.00 "," 2,121,392.00 "," 7,785,879.00 "," 474,184.00 "," 2,757,895.00 "," 225,235.00 "," 34,668,593.00 "," 2,820,811.00 "," 47,082,497.00 "," 5,012,269.00 "
FERROMEX,2019," 26,538,443.00 "," 2,413,624.00 "," 8,048,312.00 "," 262,433.00 "," 3,014,347.00 "," 256,452.00 "," 37,601,102.00 "," 2,932,509.00 "," 51,980,553.00 "," 4,898,056.00 "
FERROMEX,2020," 28,280,429.00 "," 1,741,986.00 "," 8,333,746.00 "," 285,434.00 "," 3,177,302.00 "," 162,955.00 "," 39,791,477.00 "," 2,190,375.00 "," 55,652,760.00 "," 3,672,207.00 "
FERROSUR,1999, -   , -   ," 1,233,109.00 "," 1,233,109.00 ", -   , -   ," 1,233,109.00 "," 1,233,109.00 "," 1,345,473.00 "," 1,345,473.00 "
FERROSUR,2000, -   , -   ," 587,924.00 ","-645,185.00 ", -   , -   ," 587,924.00 ","-645,185.00 "," 747,027.00 ","-598,446.00 "
FERROSUR,2001, -   , -   ," 671,396.00 "," 83,472.00 ", -   , -   ," 671,396.00 "," 83,472.00 "," 871,632.00 "," 124,605.00 "
FERROSUR,2002, -   , -   ," 711,944.00 "," 40,548.00 ", -   , -   ," 711,944.00 "," 40,548.00 "," 925,933.00 "," 54,301.00 "
