Concepto,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Documentos por pagar a largo plazo,801766,662573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deuda ,0,0,618963,3229729,4287422,3197064,2769190,2586741,2500000,2500000,2500000,4000000,3986099,2988989,4985002,4986960,4988917,4990875,4992833,4994791,3496962
Renumeración al retiro ,0,0,13793,16725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obligaciones laborales ,0,0,0,0,20130,30008,34374,39855,67339,53736,0,0,0,0,0,0,0,0,0,0,0
Obligaciones bajo arrendamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392812,938342
Beneficios a los empleados,0,0,0,0,0,0,0,0,0,0,78549,86530,70242,72569,81171,87669,84833,107887,106012,154608,190651
Reserva para prima de antigüedad ,9027,11034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impuesto sobre la renta diferido,324308,389054,516173,529187,758580,759850,764044,785236,707560,565011,575551,709715,502447,938115,976745,780077,1315792,1343079,1488801,1820430,1459002
Participación de los trabajadores en las utilidades diferido ,0,0,20797,41904,61941,59943,59944,59943,252700,211559,217044,245856,0,0,0,0,0,0,0,0,0
Capital contable:,8272689,8907505,5135780,5665447,6835006,7412064,8818724,10202783,11158819,12648755,13705412,14046699,15964004,17352698,18974253,21350090,24892059,25052341,26264647,27020748,27850051
Capital social,6733968,7030498,4461931,4347260,4725323,4725323,4913522,5106190,5106190,5106190,5106190,5106190,2461828,2461828,2461828,2461828,2461828,2461828,2461828,2461828,2461828
Utilidades acumuladas,1764737,2112976,933187,1577525,2391574,2968632,4198320,5401205,6027026,7314551,8172301,8741415,13231589,14621654,16238717,18633371,22059175,22181744,23502835,24742795,25558226
Efecto acumulado de impuesto sobre la renta diferido,-226016,-235969,-259338,-259338,-281891,-281891,-293118,-304612,0,0,0,0,0,0,0,0,0,0,0,0,0
Otras cuentas de capital,0,0,0,0,0,0,0,0,25603,228014,426921,199084,270587,269216,273708,254891,371056,408769,299984,-183875,-170003
