Concepto,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Obligaciones bajo arrendamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233643,114068
Beneficios a los empleados,0,0,0,0,0,0,0,0,0,0,0,16302,19220,17007,17861,22514,24133,27335,34031,29373,39008,46096
Impuesto sobre la renta diferido,0,0,0,0,0,0,79334,166309,256748,234043,365245,409527,552594,426864,490347,470541,498104,418.64,385818,441572,456590,425036
Participación de los trabajadores en las utilidades diferido,0,0,0,0,0,9383,18182,27274,36366,184391,200663,203425,229146,0,0,0,0,0,0,0,0,0
Partes relacionadas a largo plazo,0,0,0,0,0,0,0,0,43727,0,0,0,0,0,0,0,0,24477,24477,0,0,0
CAPITAL CONTABLE,1492447,1310579,1587967,1739919,1986095,2569144,2911918,3253554,3634644,3713188,3913770,4198975,4670498,4507432,5145915,5209440,5182388,5608611,5916153,5772414,5927519,6593194
Capital social,1108674,1108674,1522976,1522976,1583438,1719084,1719084,1789567,1859740,1859740,1859740,1859740,1859740,1108674,1108674,108674,1108674,1137309,1137309,1108674,1108674,1108674
Utilidades acumuladas,59154,1310094,256880,414267,612673,1083072,1425846,1706555,2026979,1853448,2054030,2339235,2810758,3400562,4037024,4101862,4073652,4469767,4779182,4662387,4821024,5507019
Otras cuentas de capital,271448,271448,0,0,0,0,0,0,0,0,0,0,0,-1804,217,-1096,62,1535,-338,1353,-2179,-22499
Subtotal capital contable,1380122,1380122,0,0,0,0,0,0,0,0,0,0,0,0,0,5209440,5182388,5608611,5916153,5772414,5927519,6593194
Capital contable atribuido a controladora ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5587932,5890849,0,0,0
Participación no controladora ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20679,25304,0,0,0
Insuficiencia en la actualización del capital contable ,53171,-275702,-321830,-328039,-346192,-378223,-378223,-393733,-409167,0,0,0,0,0,0,0,0,0,0,0,0,0
Efecto acumulativo del impuesto sobre la renta diferido,107002,0,128645,128645,133752,145211,145211,151165,157092,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital contable mayoritario ,0,0,1586671,1737849,1983095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interés minoritario en subsidiarias ,0,485,1296,2070,2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
